Chemical Name	Chemical ID	CAS RN	Disease Name	Disease ID	Direct Evidence	Inference Network	Inference Score	Reference Count
alclometasone dipropionate	C021137		COVID-19	MESH:D000086382		CCL2|CCL3|IL2	14,35	1
takinib	C000623135		COVID-19	MESH:D000086382		CXCL8|IL6|TNF	14,34	5
Reactive Oxygen Species	D017382		COVID-19	MESH:D000086382		AGT|CCL2|CRP|IL1B|IL2|IL6|TNF	14,33	6
Indinavir	D019469	150378-17-9	COVID-19	MESH:D000086382		CCL2|CCL3|CRP|IL6|TNF	14,32	5
4-methylbenzaldehyde	C020627	104-87-0	COVID-19	MESH:D000086382		IL1B|IL6|TNF	14,31	5
kuwanon G	C095194	75629-19-5	COVID-19	MESH:D000086382		IL1B|IL6|TNF	14,31	5
surfactin peptide	C009365	24730-31-2	COVID-19	MESH:D000086382		IL1B|IL6|TNF	14,31	5
SZU-101	C000604281		COVID-19	MESH:D000086382		IL1B|IL6|TNF	14,31	5
Epinephrine	D004837	51-43-4	COVID-19	MESH:D000086382		AGT|CCL3|IL10|IL1B|IL6|TNF	14,29	6
Estrogens	D004967		COVID-19	MESH:D000086382		AGT|CCL2|CCL3|HCK|IL1B|IL6|TNF	14,29	7
Desoxycorticosterone Acetate	D064791		COVID-19	MESH:D000086382		CCL2|IL1B|IL6|TNF	14,28	5
Iron, Dietary	D019266		COVID-19	MESH:D000086382		CCL2|IL1B|IL6|TNF	14,28	5
Enalapril	D004656	75847-73-3	COVID-19	MESH:D000086382		AGT|CCL2|CXCL8|IL1B|IL6|TNF	14,26	6
Hydrochloric Acid	D006851	7647-01-0	COVID-19	MESH:D000086382		CCL2|CXCL8|IL1B|IL6|TNF	14,26	5
AM6545	C551825		COVID-19	MESH:D000086382		CCL2|CCL3|TNF	14,25	1
Orlistat	D000077403	96829-58-2	COVID-19	MESH:D000086382		CXCL8|IL10|IL1B|IL6|TNF	14,24	5
tanshinone	C021751	568-73-0	COVID-19	MESH:D000086382		AGT|CXCL8|IL1B|IL6|TNF	14,24	6
taxifolin	C003377	480-18-2	COVID-19	MESH:D000086382		AGT|IL1B|IL6|TNF	14,24	6
Lithium	D008094	7439-93-2	COVID-19	MESH:D000086382		CXCL8|IL10|IL1B|IL2|IL6|TNF|UGCG	14,21	6
Polyphosphates	D011122		COVID-19	MESH:D000086382		IL10|IL6|TNF	14,17	5
sarpogrelate	C064294	86819-20-7	COVID-19	MESH:D000086382		CCL2|IL1B|IL6|TNF	14,16	5
Soot	D053260		COVID-19	MESH:D000086382		ACE2|CCL2|CCL3|CRP|CSF3|CXCL10|CXCL8|IL1B|IL2RA|IL6|IL7|TMPRSS2|TNF	14,16	21
ethyl pyruvate	C046522	617-35-6	COVID-19	MESH:D000086382		CXCL8|IL6|TNF	14,15	5
Acetic Acid	D019342	64-19-7	COVID-19	MESH:D000086382		CRP|IL10|IL1B|IL6|TNF	14,13	5
Gold	D006046	7440-57-5	COVID-19	MESH:D000086382		CCL2|CSF3|CXCL10|IL10|IL1B|IL6|TNF	14,13	5
chaetoglobosins	C019290	50335-03-0	COVID-19	MESH:D000086382		IL1B|IL6|TNF	14,12	5
MF59 oil emulsion	C089950		COVID-19	MESH:D000086382		CCL2|CCL3|CXCL8	14,12	2
satratoxin G	C028268	53126-63-9	COVID-19	MESH:D000086382		IL1B|IL6|TNF	14,12	5
Sincalide	D012844	25126-32-3	COVID-19	MESH:D000086382		IL1B|IL6|TNF	14,12	5
Tiapride Hydrochloride	D063325	51012-32-9	COVID-19	MESH:D000086382		IL1B|IL6|TNF	14,12	5
obeticholic acid	C464660		COVID-19	MESH:D000086382		CCL2|CRP|IL10|IL1B|IL6|TNF	14,08	5
Iodine	D007455	7553-56-2	COVID-19	MESH:D000086382		IL1B|IL2|IL6|TNF	14,07	5
Water	D014867	7732-18-5	COVID-19	MESH:D000086382		CCL2|IL10|IL1B|TNF	14,07	3
geraniol	C007836	624-15-7	COVID-19	MESH:D000086382		CRP|CXCL8|IL10|IL1B|IL6|LZTFL1|TNF	14,06	7
sirtinol	C439060		COVID-19	MESH:D000086382		CCL2|CXCL8|IL1B|TNF	14,06	3
Cilostazol	D000077407	73963-72-1	COVID-19	MESH:D000086382		CCL2|IL1B|IL6|TNF	14,05	5
Cycloheximide	D003513	66-81-9	COVID-19	MESH:D000086382		CCL2|CXCL10|CXCL8|IL10|IL1B|IL6|TNF	14,05	5
Propranolol	D011433	525-66-6	COVID-19	MESH:D000086382		AGT|CCL3|IL10|IL1B|IL6|TNF	14,05	6
1,7-dimethylxanthine	C021183	611-59-6	COVID-19	MESH:D000086382		CCL3|IL6|TNF	14,04	5
9,10-Dimethyl-1,2-benzanthracene	D015127	57-97-6	COVID-19	MESH:D000086382		CCL2|CCL3|CSF3|CXCL10|IL10|IL1B|IL2|IL6|TNF|UGCG	14,04	6
doramapimod	C452139		COVID-19	MESH:D000086382		CXCL10|CXCL8|IL1B|TNF	14,03	3
Terfenadine	D016593	50679-08-8	COVID-19	MESH:D000086382		IL10|IL2|IL6|TNF	14,03	5
Peroxynitrous Acid	D030421	14691-52-2	COVID-19	MESH:D000086382		AGT|CXCL8|IL6|TNF	14,02	6
tolmetin glucuronide	C056583	71595-19-2	COVID-19	MESH:D000086382		CCL2|CXCL8|IL6	14,02	5
kappa-casein glycomacropeptide	C020251		COVID-19	MESH:D000086382		IL10|IL1B|IL6	14,01	5
nerolidol	C037055	7212-44-4	COVID-19	MESH:D000086382		AGT|IL6|TNF	14,01	6
1,1-dimethylbutyl-1-deoxy-Delta(9)-THC	C432747		COVID-19	MESH:D000086382		IL10|IL1B|IL6|TNF	14,00	5
2-aminoethoxydiphenyl borate	C109986		COVID-19	MESH:D000086382		CXCL8|IL1B|IL6|TNF	13,99	5
Biliverdine	D001664	114-25-0	COVID-19	MESH:D000086382		IL10|IL6|TNF	13,99	5
cobra venom factor	C016310		COVID-19	MESH:D000086382		IL10|IL6|TNF	13,99	5
cyanoginosin LR	C057862		COVID-19	MESH:D000086382		BSG|CCL2|CXCL8|IL10|IL1B|IL2|IL6|TNF	13,99	6
3,4,3',4'-tetrachlorobiphenyl	C028451		COVID-19	MESH:D000086382		AGT|CCL2|CRP|IL1B|IL6|TMEM106B|TNF	13,98	7
beta-penta-O-galloyl-glucose	C013185	14937-32-7	COVID-19	MESH:D000086382		CCL2|IL6|TNF	13,97	5
Ellagic Acid	D004610	476-66-4	COVID-19	MESH:D000086382		CCL2|CXCL8|IL1B|IL6|TNF	13,97	5
SR 1078	C559087		COVID-19	MESH:D000086382		CCL2|IL6|TNF	13,97	5
6-Aminonicotinamide	D015120	329-89-5	COVID-19	MESH:D000086382		IL1B|IL6|TNF	13,94	5
fraxinellone	C075391	28808-62-0	COVID-19	MESH:D000086382		IL1B|IL6|TNF	13,94	5
Geraniin	C024603	60976-49-0	COVID-19	MESH:D000086382		IL1B|IL6|TNF	13,94	5
picropodophyllin	C415032		COVID-19	MESH:D000086382		IL1B|IL6|TNF	13,94	5
Polyethylene	D020959	9002-88-4	COVID-19	MESH:D000086382		IL1B|IL6|TNF	13,94	5
rhyncophylline	C052714	76-66-4	COVID-19	MESH:D000086382		IL1B|IL6|TNF	13,94	5
roridin A	C038849	14729-29-4	COVID-19	MESH:D000086382		IL1B|IL6|TNF	13,94	5
Testosterone	D013739	58-22-0	COVID-19	MESH:D000086382		ABO|ACE2|AGT|BSG|BTK|CCL2|CCL3|CRP|CXCL10|CXCL8|HCK|IL10|IL1B|IL2RA|IL6|TMEM106B|TMPRSS2|TNF	13,93	27
Mebendazole	D008463	31431-39-7	COVID-19	MESH:D000086382		CCL2|CXCL8|IL1B|TNF	13,90	3
N-(3-methoxyphenyl)-4-chlorocinnamanilide	C477659		COVID-19	MESH:D000086382		CCL3|CXCL8|TNF	13,90	2
crocin	C029036	42553-65-1	COVID-19	MESH:D000086382		IL10|IL1B|IL6|TNF	13,89	5
wogonin	C085514	632-85-9	COVID-19	MESH:D000086382		CXCL8|IL1B|IL6|TNF	13,88	5
rosmarinic acid	C041376	537-15-5	COVID-19	MESH:D000086382		CRP|IL1B|IL6|TNF	13,86	5
ammonium trichloro(dioxoethylene-O,O'-)tellurate	C054105		COVID-19	MESH:D000086382		IL2|IL6|TNF	13,85	5
Air Pollutants, Occupational	D000395		COVID-19	MESH:D000086382		CCL3|CSF3|CXCL10|CXCL8|HCK|IL10|IL1B|IL6|TNF	13,84	6
indoleacetic acid	C030737	87-51-4	COVID-19	MESH:D000086382		IL2|IL2RA|TNF	13,84	3
gardiquimod	C546771		COVID-19	MESH:D000086382		CXCL10|CXCL8|IL10|IL6|TNF	13,82	5
Doxycycline	D004318	564-25-0	COVID-19	MESH:D000086382		AGT|CXCL8|IL1B|IL6|TNF	13,81	6
Vitamin A	D014801	11103-57-4	COVID-19	MESH:D000086382		ACE2|CCL2|IL1B|IL2|TMPRSS2|TNF	13,81	18
Sesquiterpenes	D012717		COVID-19	MESH:D000086382		CXCL8|IL6|TNF	13,80	5
3,7,11,15-tetramethyl-2,4,6,10,14-hexadecapentaenoic acid	C034534	81485-25-8	COVID-19	MESH:D000086382		IL1B|IL6|TNF	13,77	5
sesamol	C025583	533-31-3	COVID-19	MESH:D000086382		IL1B|IL6|TNF	13,77	5
Cholesterol	D002784	57-88-5	COVID-19	MESH:D000086382		AGT|CCL2|CXCL8|IL1B|IL6|TNF	13,76	6
nilotinib	C498826		COVID-19	MESH:D000086382		IL1B|IL2|IL6|TNF	13,74	5
Paclitaxel	D017239		COVID-19	MESH:D000086382		AGT|CCL2|CSF3|CXCL10|CXCL8|IL10|IL1B|IL6|TNF	13,72	6
anacetrapib	C530884		COVID-19	MESH:D000086382		CCL3|IL6|TNF	13,71	5
chromium mesoporphyrin	C427471		COVID-19	MESH:D000086382		CCL3|IL6|TNF	13,71	5
Omeprazole	D009853	73590-58-6	COVID-19	MESH:D000086382		ACE2|AGT|IL10|IL1B|IL6|TMPRSS2|TNF	13,71	22
Sodium Dodecyl Sulfate	D012967	151-21-3	COVID-19	MESH:D000086382		CCL2|CXCL10|CXCL8|IL1B|IL2|IL6|TNF	13,71	5
chromous chloride	C017133	10049-05-5	COVID-19	MESH:D000086382		CXCL8|HCK|IL1B|TNF	13,69	4
aliskiren	C446481		COVID-19	MESH:D000086382		AGT|IL1B|TNF	13,68	3
Aspartame	D001218	22839-47-0	COVID-19	MESH:D000086382		AGT|CCL2|IL1B|IL6|TNF	13,68	6
GW 501516	C425931		COVID-19	MESH:D000086382		CCL2|IL1B|IL6|TNF	13,68	5
SRT1720	C525422		COVID-19	MESH:D000086382		CCL2|IL1B|IL6|TNF	13,68	5
arctigenin	C071942		COVID-19	MESH:D000086382		CCL2|IL1B|IL6	13,66	5
Thioacetamide	D013853	62-55-5	COVID-19	MESH:D000086382		ACE2|AGT|CCL2|CRP|CXCL10|CXCL8|HCK|IL10|IL1B|IL2|IL6|LZTFL1|TMPRSS2|TNF|UGCG	13,66	26
piperine	C008922	7780-20-3	COVID-19	MESH:D000086382		IL1B|IL2|IL6|TNF	13,64	5
zafirlukast	C062735	107753-78-6	COVID-19	MESH:D000086382		CXCL8|IL1B|IL6|TNF	13,63	5
kaempferol 7-O-glucoside	C524169		COVID-19	MESH:D000086382		IL1B|IL6|TNF	13,61	5
yangonin	C110481	500-62-9	COVID-19	MESH:D000086382		IL1B|IL6|TNF	13,61	5
usnic acid	C073339	125-46-2	COVID-19	MESH:D000086382		CXCL10|IL1B|IL6|TNF	13,60	5
LR-90	C485003		COVID-19	MESH:D000086382		CCL2|CXCL10|TNF	13,59	1
apigenin-6,8-di-C-glycopyranoside	C530449		COVID-19	MESH:D000086382		IL10|IL1B|IL6|TNF	13,58	5
Doxepin	D004316	1668-19-5	COVID-19	MESH:D000086382		ACE2|IL1B|TMPRSS2|TNF	13,57	18
Vitamin B 12	D014805	68-19-9	COVID-19	MESH:D000086382		CCL2|CRP|IL1B|IL6|TNF	13,56	5
Meloxicam	D000077239	71125-38-7	COVID-19	MESH:D000086382		CXCL10|IL1B|IL6|TNF	13,55	5
Asbestos, Amosite	D017639	12172-73-5	COVID-19	MESH:D000086382		HCK|IL1B|IL6|TNF	13,53	6
iodopravadoline	C094023		COVID-19	MESH:D000086382		IL10|IL1B|IL6|TNF	13,53	5
5-(3-methoxy-5-(4-methoxystyryl)phenoxy)-2,2-dimethylpentanoic acid	C000598659		COVID-19	MESH:D000086382		IL10|IL6|TNF	13,51	5
Nicotine	D009538		COVID-19	MESH:D000086382		BTK|CCL2|CRP|CXCL8|IL10|IL1B|IL2|IL6|IL7|TNF	13,50	6
sorbinil	C026411		COVID-19	MESH:D000086382		CXCL8|IL6|TNF	13,49	5
Chloranil	D002703	118-75-2	COVID-19	MESH:D000086382		IL1B|IL6|TNF	13,46	5
ginsenoside Rh1	C425564	63223-86-9	COVID-19	MESH:D000086382		IL1B|IL6|TNF	13,46	5
wedelolactone	C051122	524-12-9	COVID-19	MESH:D000086382		IL1B|IL6|TNF	13,46	5
Anthocyanins	D000872		COVID-19	MESH:D000086382		CCL2|IL10|IL1B|TNF	13,45	3
Go 6976	C081021	136194-77-9	COVID-19	MESH:D000086382		IL1B|IL2|IL6|TNF	13,45	5
tremolite	C005846	14567-73-8	COVID-19	MESH:D000086382		CCL2|CCL3|CSF3|IL1B|IL6|TMPRSS4	13,45	6
4-nitroaniline	C019498	100-01-6	COVID-19	MESH:D000086382		CXCL8|IL1B|IL2	13,44	3
Calcitriol	D002117	32222-06-3	COVID-19	MESH:D000086382		CCL2|CCL3|CRP|CXCL8|HCK|IL10|IL1B|IL2|IL2RA|IL6|TMEM106B|TMPRSS2|TNF	13,43	10
galangin	C037032	548-83-4	COVID-19	MESH:D000086382		CXCL8|IL1B|IL6|TNF	13,43	5
xiongshao	C528128		COVID-19	MESH:D000086382		CRP|IL6|TNF	13,43	5
cadmium acetate	C028031	543-90-8	COVID-19	MESH:D000086382		CXCL8|IL10|IL1B|IL6|TNF	13,42	5
Dietary Fats, Unsaturated	D004042		COVID-19	MESH:D000086382		CCL2|CCL3|CXCL10|TNF	13,41	1
ethylisopropylamiloride	C039614	1154-25-2	COVID-19	MESH:D000086382		CCL2|CXCL8|IL1B	13,40	3
Ketoprofen	D007660	22071-15-4	COVID-19	MESH:D000086382		CXCL8|IL10|IL6|TNF	13,40	5
1,3-dihydro-1-(1-((4-(6-phenyl-1H-imidazo(4,5-g)quinoxalin-7-yl)phenyl)methyl)-4-piperidinyl)-2H-benzimidazol-2-one	C532657		COVID-19	MESH:D000086382		AGT|IL6|TNF	13,39	6
alisol A 24-acetate	C457233		COVID-19	MESH:D000086382		CCL2|IL1B|IL6	13,37	5
cholest-5-en-3 beta,7 alpha-diol	C011724	566-26-7	COVID-19	MESH:D000086382		CCL2|CCL3|CXCL8	13,36	2
Chrysenes	D002911		COVID-19	MESH:D000086382		CCL2|CCL3|CXCL8	13,36	2
cucurbitacin B	C041246	6199-67-3	COVID-19	MESH:D000086382		CCL2|IL1B|TNF	13,35	2
aceclofenac	C056498	89796-99-6	COVID-19	MESH:D000086382		IL1B|IL6|TNF	13,32	5
anemoside B4	C000620474		COVID-19	MESH:D000086382		IL1B|IL6|TNF	13,32	5
Diacetyl	D003931	431-03-8	COVID-19	MESH:D000086382		CXCL8|IL2|IL6|TNF	13,32	5
GYY 4137	C529376		COVID-19	MESH:D000086382		AGT|IL10|IL1B	13,32	4
homoeriodictyol	C503231		COVID-19	MESH:D000086382		IL1B|IL6|TNF	13,32	5
imoxin	C587358		COVID-19	MESH:D000086382		IL1B|IL6|TNF	13,32	5
isoborneol	C022871	10385-78-1	COVID-19	MESH:D000086382		IL1B|IL6|TNF	13,32	5
Isothiocyanates	D017879		COVID-19	MESH:D000086382		IL1B|IL6|TNF	13,32	5
schizandrol B	C033585	58546-54-6	COVID-19	MESH:D000086382		IL1B|IL6|TNF	13,32	5
SEW2871	C503964		COVID-19	MESH:D000086382		IL1B|IL6|TNF	13,32	5
tocotrienol, delta	C082097	25612-59-3	COVID-19	MESH:D000086382		CRP|IL1B|IL6|TNF	13,32	5
CpG ODN 2216	C526902		COVID-19	MESH:D000086382		CXCL10|IL6|TNF	13,28	5
Scopolamine	D012601		COVID-19	MESH:D000086382		AGT|IL10|IL1B|IL6|TNF	13,28	6
Iohexol	D007472	66108-95-0	COVID-19	MESH:D000086382		AGT|CXCL8|IL1B|TNF	13,27	4
Probucol	D011341	23288-49-5	COVID-19	MESH:D000086382		CCL2|IL1B|IL6|TNF	13,25	5
CPG-oligonucleotide	C408982		COVID-19	MESH:D000086382		CXCL8|IL10|IL1B|IL6|TNF	13,23	5
Dydrogesterone	D004394	152-62-5	COVID-19	MESH:D000086382		IL10|IL6|TNF	13,23	5
N-(2-(4-bromocinnamylamino)ethyl)-5-isoquinolinesulfonamide	C063509	127243-85-0	COVID-19	MESH:D000086382		CCL2|CXCL8|IL1B|IL6|TNF	13,23	5
dimemorfan	C012621	36304-82-2	COVID-19	MESH:D000086382		CCL2|IL1B|TNF	13,22	2
butaprost	C048491	69648-38-0	COVID-19	MESH:D000086382		CXCL8|IL1B|TNF	13,21	3
farrerol	C015881	24211-30-1	COVID-19	MESH:D000086382		IL1B|IL6|TNF	13,18	5
Lignans	D017705		COVID-19	MESH:D000086382		IL1B|IL6|TNF	13,18	5
monascin	C517880		COVID-19	MESH:D000086382		IL1B|IL6|TNF	13,18	5
phosalone	C003117	2310-17-0	COVID-19	MESH:D000086382		IL1B|IL6|TNF	13,18	5
Vincristine	D014750		COVID-19	MESH:D000086382		CCL2|CXCL10|CXCL8|IL1B|IL2|IL6|IL7|LZTFL1|TNF|UGCG	13,18	8
Fatty Acids, Nonesterified	D005230		COVID-19	MESH:D000086382		AGT|IL1B|IL6|TNF	13,17	6
Isoflurane	D007530	26675-46-7	COVID-19	MESH:D000086382		CCL2|CXCL10|IL1B|IL6|TNF	13,12	5
isoliquiritigenin	C040920	961-29-5	COVID-19	MESH:D000086382		CXCL10|IL10|IL6|TNF	13,11	5
6-hydroxy-5-((p- sulfophenyl)azo)-2-naphthalenesulfonic acid disodium salt	C005842		COVID-19	MESH:D000086382		CXCL8|IL2|IL6|TNF	13,10	5
CpG ODN 1826	C423449		COVID-19	MESH:D000086382		IL10|IL6|TNF	13,10	5
palmidrol	C005958		COVID-19	MESH:D000086382		IL10|IL6|TNF	13,10	5
N-((3-(aminomethyl)phenyl)methyl)ethanimidamide	C496401		COVID-19	MESH:D000086382		CCL2|IL1B|TNF	13,09	2
asarone	C012195	494-40-6	COVID-19	MESH:D000086382		IL1B|IL6|TNF	13,05	5
asiatic acid	C017032	464-92-6	COVID-19	MESH:D000086382		IL1B|IL6|TNF	13,05	5
Carticaine	D002355	23964-58-1	COVID-19	MESH:D000086382		IL1B|IL6|TNF	13,05	5
CL 075	C551788		COVID-19	MESH:D000086382		IL1B|IL6|TNF	13,05	5
potassium oxonate	C489337		COVID-19	MESH:D000086382		IL1B|IL6|TNF	13,05	5
Vardenafil Dihydrochloride	D000069058		COVID-19	MESH:D000086382		IL1B|IL6|TNF	13,05	5
Glycyrrhizic Acid	D019695	1405-86-3	COVID-19	MESH:D000086382		CCL2|CXCL8|IL6|TNF	13,04	5
tetrandrine	C009438	518-34-3	COVID-19	MESH:D000086382		IL10|IL1B|IL6|TNF	13,03	5
angiotensin I (1-9)	C506331		COVID-19	MESH:D000086382		ACE2|AGT	13,02	16
Azathioprine	D001379	446-86-6	COVID-19	MESH:D000086382		ACE2|CSF3|CXCL8|IL1B|IL6|IL7|TMPRSS2|TNF	13,02	21
thieno(2,3-c)isoquinolin-5-one	C475227		COVID-19	MESH:D000086382		CCL2|IL10|TNF	13,01	2
dinitrophenyl-human serum albumin conjugate	C058064		COVID-19	MESH:D000086382		CCL2|CXCL8|TNF	12,99	2
Fatty Acids, Unsaturated	D005231		COVID-19	MESH:D000086382		IL1B|IL2|IL6|TNF	12,96	5
Fingolimod Hydrochloride	D000068876		COVID-19	MESH:D000086382		CCL2|IL1B|IL6|TNF	12,94	5
Rosuvastatin Calcium	D000068718		COVID-19	MESH:D000086382		CCL2|CRP|IL1B|TNF	12,94	3
astilbin	C099069	29838-67-3	COVID-19	MESH:D000086382		IL1B|IL6|TNF	12,93	5
Cilomilast	C433247		COVID-19	MESH:D000086382		IL1B|IL6|TNF	12,93	5
glucosamine 6-O-sulfate	C046905	91674-26-9	COVID-19	MESH:D000086382		IL1B|IL6|TNF	12,93	5
graphene oxide	C000628730		COVID-19	MESH:D000086382		CCL2|CXCL10|IL1B|IL6|TNF	12,91	5
Methimazole	D008713	60-56-0	COVID-19	MESH:D000086382		ACE2|CCL2|CXCL8|IL10|IL1B|IL6|TNF	12,91	20
CEP-11004	C469298		COVID-19	MESH:D000086382		IL10|IL6|TNF	12,86	5
geniposide	C007835	24512-63-8	COVID-19	MESH:D000086382		IL10|IL1B|TNF	12,86	3
Mometasone Furoate	D000068656		COVID-19	MESH:D000086382		IL10|IL1B|TNF	12,86	3
Betamethasone	D001623	378-44-9	COVID-19	MESH:D000086382		ACE2|CCL2|CCL3|CXCL8	12,84	17
Glutaral	D005976	111-30-8	COVID-19	MESH:D000086382		CXCL8|IL6|TNF	12,84	5
N-(3,5-bis(trifluoromethyl)phenyl)-5-chloro-2-hydroxybenzamide	C492919		COVID-19	MESH:D000086382		CXCL8|IL6|TNF	12,84	5
Zearalenone	D015025	17924-92-4	COVID-19	MESH:D000086382		CCL2|CXCL8|IL10|IL1B|IL2|IL6|TNF	12,84	5
5-chloro-2-methyl-4-isothiazolin-3-one	C011421	26172-55-4	COVID-19	MESH:D000086382		CXCL8|IL2|IL6	12,82	5
3-oxo-29-noroleana-1,9(11),12-trien-2,20-dicarbonitrile	C581004		COVID-19	MESH:D000086382		IL1B|IL6|TNF	12,81	5
aroclor 1242	C027423	53469-21-9	COVID-19	MESH:D000086382		IL1B|IL6|TNF	12,81	5
dehydroxymethylepoxyquinomicin	C464444		COVID-19	MESH:D000086382		IL1B|IL6|TNF	12,81	5
Ginsenosides	D036145		COVID-19	MESH:D000086382		IL1B|IL6|TNF	12,81	5
trilobatin	C000598619		COVID-19	MESH:D000086382		IL1B|IL6|TNF	12,81	5
estradiol 3-benzoate	C074283	50-50-0	COVID-19	MESH:D000086382		ACE2|BTK|CCL2|CCL3|HCK|IL10|IL1B|IL2RA|TNF	12,79	21
trans-1,4-Bis(2-chlorobenzaminomethyl)cyclohexane Dihydrochloride	D001371	366-93-8	COVID-19	MESH:D000086382		CXCL8|IL2RA|IL6	12,78	4
bergenin	C006741	477-90-7	COVID-19	MESH:D000086382		IL10|IL1B|IL6	12,77	5
Acarbose	D020909	56180-94-0	COVID-19	MESH:D000086382		ACE2|CCL2|TNF	12,76	16
Adenosine-5'-(N-ethylcarboxamide)	D019830	35920-39-9	COVID-19	MESH:D000086382		CCL2|CXCL8|TNF	12,76	2
sodium bromate	C060553	7789-38-0	COVID-19	MESH:D000086382		CXCL8|IL2	12,76	2
Synephrine	D013578	94-07-5	COVID-19	MESH:D000086382		IL10|IL6|TNF	12,75	5
lipopolysaccharide, Helicobacter pylori	C442865		COVID-19	MESH:D000086382		CXCL8|IL1B|TNF	12,73	3
Methoxychlor	D008731	72-43-5	COVID-19	MESH:D000086382		CCL2|CXCL10|IL1B|IL2|IL6|TNF|UGCG	12,73	6
Polychlorinated Biphenyls	D011078		COVID-19	MESH:D000086382		CCL2|CCL3|IL10|IL1B|IL2|IL6|TNF|UGCG	12,72	6
Donepezil	D000077265	120011-70-3	COVID-19	MESH:D000086382		IL10|IL1B|IL6|TNF	12,71	5
N-(1,2,3,5,6,7-hexahydro-S-indacen-4-ylcarbamoyl)-4-(2-hydroxy-2-propanyl)-2-furansulfonamide	C000597426		COVID-19	MESH:D000086382		IL1B|IL6|TNF	12,70	5
sesamin	C054125	607-80-7	COVID-19	MESH:D000086382		IL1B|IL6|TNF	12,70	5
tris(2,3-dibromopropyl)isocyanurate	C541743	52434-90-9	COVID-19	MESH:D000086382		IL1B|IL6|TNF	12,70	5
Dextran Sulfate	D016264	9042-14-2	COVID-19	MESH:D000086382		AGT|CCL2|CCL3|CXCL10|CXCL8|IL10|IL1B|IL2|IL6|TNF	12,68	6
cyhalothrin	C037304	68085-85-8	COVID-19	MESH:D000086382		CCL2|IL10|IL1B|IL6|TNF	12,67	5
Tacrine	D013619	321-64-2	COVID-19	MESH:D000086382		IL10|IL1B|IL6|TNF	12,67	5
4,4'-diphenylmethane diisocyanate	C005969		COVID-19	MESH:D000086382		CXCL8|IL10|IL2	12,66	2
Pyocyanine	D011710	85-66-5	COVID-19	MESH:D000086382		IL10|IL6|TNF	12,64	5
Rifaximin	D000078262		COVID-19	MESH:D000086382		CCL3|IL10|TNF	12,63	2
Ranitidine	D011899	66357-35-5	COVID-19	MESH:D000086382		CSF3|IL10|IL1B|IL6|TNF	12,62	5
Tamoxifen	D013629	10540-29-1	COVID-19	MESH:D000086382		AGT|CCL2|CCL3|CSF3|CXCL10|CXCL8|IL1B|IL2|IL6|IL7|TMPRSS2|TMPRSS4|TNF|UGCG	12,61	10
aurin	C017037	603-45-2	COVID-19	MESH:D000086382		CXCL10|IL1B|IL6	12,60	5
Drugs, Chinese Herbal	D004365		COVID-19	MESH:D000086382		AGT|CCL2|CXCL8|IL10|IL1B|IL2|IL6|TNF	12,60	6
mercury nitrate	C029948	24670-15-3	COVID-19	MESH:D000086382		IL10|IL6	12,60	5
barium chloride	C024986	10361-37-2	COVID-19	MESH:D000086382		IL1B|IL6|TNF	12,59	5
ginsenoside Re	C049864	52286-59-6	COVID-19	MESH:D000086382		CRP|IL1B|IL6|TNF	12,58	5
Puromycin Aminonucleoside	D011692	58-60-6	COVID-19	MESH:D000086382		AGT|CCL2|CCL3|IL1B|TNF	12,58	3
Menthol	D008610	1490-04-6	COVID-19	MESH:D000086382		CRP|CXCL8|IL1B|IL2|IL6|TNF	12,57	5
iberogast	C039964		COVID-19	MESH:D000086382		IL10|TNF	12,56	2
oxophenylarsine	C029341	637-03-6	COVID-19	MESH:D000086382		AGT|IL1B|IL6|TNF	12,56	6
duanbanhuain A	C570583		COVID-19	MESH:D000086382		CCL2|IL6	12,55	5
duanbanhuain B	C570584		COVID-19	MESH:D000086382		CCL2|IL6	12,55	5
Febuxostat	D000069465		COVID-19	MESH:D000086382		CCL2|CXCL8|TNF	12,55	2
SGA 360	C551534		COVID-19	MESH:D000086382		IL10|IL1B|IL6	12,55	5
Panax notoginseng extract	C519374		COVID-19	MESH:D000086382		IL10|IL1B|IL2	12,53	3
cocoa butter	C052387	8002-31-1	COVID-19	MESH:D000086382		CCL2|IL1B|TNF	12,52	2
osteum	C013173	143-19-1	COVID-19	MESH:D000086382		CCL2|IL1B|TNF	12,52	2
Testosterone Propionate	D043343	57-85-2	COVID-19	MESH:D000086382		AGT|IL1B|IL6|TNF	12,52	6
diapocynin	C527766		COVID-19	MESH:D000086382		CCL2|TNF	12,51	1
Dimethyl Sulfoxide	D004121	67-68-5	COVID-19	MESH:D000086382		CCL2|CXCL8|IL1B|IL2|IL6|TNF	12,51	5
5(S),6(R)-7-trihydroxyheptanoic acid, methyl ester	C530770		COVID-19	MESH:D000086382		CXCL8|TNF	12,50	2
6-hydroxy-2,5,7,8-tetramethylchroman-2-carboxylic acid	C010643	56305-04-5	COVID-19	MESH:D000086382		IL1B|IL2|IL6|TNF	12,49	5
Dietary Carbohydrates	D004040		COVID-19	MESH:D000086382		CXCL8|IL10|IL1B|IL6|TNF	12,48	5
epigallocatechin gallate	C045651	989-51-5	COVID-19	MESH:D000086382		CCL2|CCL3|CRP|CXCL10|CXCL8|IL10|IL1B|IL2|IL6|IL7|TNF|UGCG	12,48	6
