Gene Symbol	Gene ID	Disease Name	Disease ID	Direct Evidence	Inference Network	Inference Score	Reference Count
BCAS2	10286	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,45	4
CLPTM1L	81037	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,45	4
CRIPT	9419	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,45	4
LEPROTL1	23484	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,45	4
MGMT	4255	COVID-19	MESH:D000086382		Emodin|Ivermectin|Zinc	6,45	5
MRPS17	51373	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,45	4
PXK	54899	COVID-19	MESH:D000086382		Zinc|Zinc Sulfate	6,45	3
PYCR2	29920	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,45	4
TAGLN3	29114	COVID-19	MESH:D000086382		Ivermectin|Zinc Sulfate	6,45	3
WDR46	9277	COVID-19	MESH:D000086382		Zinc|Zinc Sulfate	6,45	3
ACTR1A	10121	COVID-19	MESH:D000086382		Choline|Ivermectin	6,44	3
CHMP2A	27243	COVID-19	MESH:D000086382		Choline|Ivermectin	6,44	3
COQ9	57017	COVID-19	MESH:D000086382		Choline|Ivermectin	6,44	3
GET1	7485	COVID-19	MESH:D000086382		Choline|Ivermectin	6,44	3
JAK3	3718	COVID-19	MESH:D000086382		baricitinib|Zinc	6,44	4
KRT80	144501	COVID-19	MESH:D000086382		Dactinomycin|Zinc Sulfate	6,44	2
LRRC1	55227	COVID-19	MESH:D000086382		Choline|Ivermectin	6,44	3
STXBP5	134957	COVID-19	MESH:D000086382		Choline|Ivermectin	6,44	3
TF	7018	COVID-19	MESH:D000086382		Ivermectin|Melatonin|Zinc	6,44	6
TMEM100	55273	COVID-19	MESH:D000086382		Choline|Mercaptopurine	6,44	2
TTR	7276	COVID-19	MESH:D000086382		Ivermectin|perfluorobutyric acid|Zinc	6,44	5
WDR45B	56270	COVID-19	MESH:D000086382		Choline|Ivermectin	6,44	3
WNT2B	7482	COVID-19	MESH:D000086382		Choline|Mercaptopurine	6,44	2
YLPM1	56252	COVID-19	MESH:D000086382		Choline|Ivermectin	6,44	3
CLIC6	54102	COVID-19	MESH:D000086382		Choline|Zinc	6,43	3
MIB1	57534	COVID-19	MESH:D000086382		Choline|Zinc	6,43	3
MIR146A	406938	COVID-19	MESH:D000086382		Sirolimus|Zinc	6,43	3
TMC4	147798	COVID-19	MESH:D000086382		Choline|Zinc	6,43	3
ARFGEF2	10564	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,42	4
CLASP1	23332	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,42	4
ITCH	83737	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,42	4
MRE11	4361	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,42	4
MYDGF	56005	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,42	4
NUDT16L1	84309	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,42	4
PEG3	5178	COVID-19	MESH:D000086382		Acetazolamide|Zinc	6,42	3
RAB21	23011	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,42	4
RPL38	6169	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,42	4
SYNGR3	9143	COVID-19	MESH:D000086382		Ivermectin|Zinc Sulfate	6,42	3
TM9SF2	9375	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,42	4
TOM1	10043	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,42	4
ZDHHC14	79683	COVID-19	MESH:D000086382		Zinc|Zinc Sulfate	6,42	3
CGGBP1	8545	COVID-19	MESH:D000086382		Choline|Ivermectin	6,41	3
DDX50	79009	COVID-19	MESH:D000086382		Choline|Ivermectin	6,41	3
EIF3M	10480	COVID-19	MESH:D000086382		Choline|Ivermectin	6,41	3
EXOC7	23265	COVID-19	MESH:D000086382		Choline|Ivermectin	6,41	3
GTPBP1	9567	COVID-19	MESH:D000086382		Choline|Ivermectin	6,41	3
IL5	3567	COVID-19	MESH:D000086382		Emodin|Ribavirin|Sirolimus	6,41	7
NAPA	8775	COVID-19	MESH:D000086382		Choline|Ivermectin	6,41	3
NCOA5	57727	COVID-19	MESH:D000086382		Choline|Ivermectin	6,41	3
S100A16	140576	COVID-19	MESH:D000086382		Ivermectin|Mercaptopurine	6,41	3
UBXN1	51035	COVID-19	MESH:D000086382		Choline|Ivermectin	6,41	3
APPL1	26060	COVID-19	MESH:D000086382		Chloroquine|Ivermectin	6,40	7
FEM1C	56929	COVID-19	MESH:D000086382		Choline|Zinc	6,40	3
IFT57	55081	COVID-19	MESH:D000086382		Choline|Zinc Sulfate	6,40	2
MAS1	4142	COVID-19	MESH:D000086382		Choline|Losartan	6,40	2
MIR150	406942	COVID-19	MESH:D000086382		Choline|Zinc	6,40	3
MPHOSPH6	10200	COVID-19	MESH:D000086382		Choline|Zinc Sulfate	6,40	2
PTPN22	26191	COVID-19	MESH:D000086382		Zinc|Zinc Sulfate	6,40	3
TMEM14C	51522	COVID-19	MESH:D000086382		Ivermectin|Sirolimus	6,40	3
ACSL1	2180	COVID-19	MESH:D000086382		Choline|Ivermectin|Zinc	6,39	5
CTH	1491	COVID-19	MESH:D000086382		Choline|Ivermectin|Zinc	6,39	5
MAGT1	84061	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,39	4
MFAP3L	9848	COVID-19	MESH:D000086382		Mercaptopurine|Zinc	6,39	3
MMP3	4314	COVID-19	MESH:D000086382		Azithromycin|Choline|Zinc	6,39	4
PIK3R1	5295	COVID-19	MESH:D000086382		Emodin|Ivermectin|Sirolimus	6,39	3
SDF4	51150	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,39	4
SEC24A	10802	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,39	4
SENP6	26054	COVID-19	MESH:D000086382		Chloroquine|Choline	6,39	6
TEAD1	7003	COVID-19	MESH:D000086382		Choline|Sirolimus	6,39	2
BATF	10538	COVID-19	MESH:D000086382		Choline|Zinc Sulfate	6,38	2
CFDP1	10428	COVID-19	MESH:D000086382		Choline|Ivermectin	6,38	3
CNOT7	29883	COVID-19	MESH:D000086382		Choline|Ivermectin	6,38	3
KMT2B	9757	COVID-19	MESH:D000086382		Choline|Ivermectin	6,38	3
MINPP1	9562	COVID-19	MESH:D000086382		Choline|Ivermectin	6,38	3
PCNP	57092	COVID-19	MESH:D000086382		Choline|Ivermectin	6,38	3
TMEM39A	55254	COVID-19	MESH:D000086382		Choline|Zinc Sulfate	6,38	2
TRIM29	23650	COVID-19	MESH:D000086382		Choline|Ivermectin	6,38	3
XRN1	54464	COVID-19	MESH:D000086382		Choline|Ivermectin	6,38	3
EHBP1L1	254102	COVID-19	MESH:D000086382		Choline|Zinc	6,37	3
IL9	3578	COVID-19	MESH:D000086382		Choline|Zinc	6,37	3
NDUFB10	4716	COVID-19	MESH:D000086382		Ivermectin|Zinc Sulfate	6,37	3
RORB	6096	COVID-19	MESH:D000086382		Choline|Zinc	6,37	3
SLCO2B1	11309	COVID-19	MESH:D000086382		4-(4-guanidinobenzoyloxy)phenylacetic acid|Mefloquine	6,37	2
ANXA1	301	COVID-19	MESH:D000086382		Choline|Ivermectin|Zinc	6,36	5
DPP8	54878	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,36	4
ESYT2	57488	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,36	4
ITPA	3704	COVID-19	MESH:D000086382		Ivermectin|Ribavirin	6,36	8
NUFIP2	57532	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,36	4
RBM22	55696	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,36	4
SRPRA	6734	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,36	4
UBE2M	9040	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,36	4
APAF1	317	COVID-19	MESH:D000086382		Choline|Ivermectin|Melatonin	6,35	5
CLINT1	9685	COVID-19	MESH:D000086382		Choline|Ivermectin	6,35	3
CORO6	84940	COVID-19	MESH:D000086382		Choline|Mercaptopurine	6,35	2
CUL4B	8450	COVID-19	MESH:D000086382		Choline|Ivermectin	6,35	3
JCHAIN	3512	COVID-19	MESH:D000086382		Hydroxychloroquine|Zinc	6,35	7
LECT2	3950	COVID-19	MESH:D000086382		Choline|Zinc Sulfate	6,35	2
NFYC	4802	COVID-19	MESH:D000086382		Choline|Ivermectin	6,35	3
PDAP1	11333	COVID-19	MESH:D000086382		Choline|Ivermectin	6,35	3
PGAM5	192111	COVID-19	MESH:D000086382		Choline|Ivermectin	6,35	3
POLR1A	25885	COVID-19	MESH:D000086382		Choline|Ivermectin	6,35	3
RHO	6010	COVID-19	MESH:D000086382		Mercaptopurine|Zinc	6,35	3
UBR1	197131	COVID-19	MESH:D000086382		Choline|Ivermectin	6,35	3
AFDN	4301	COVID-19	MESH:D000086382		Ivermectin|Zinc Sulfate	6,34	3
MIR192	406967	COVID-19	MESH:D000086382		Choline|Zinc	6,34	3
MIR200B	406984	COVID-19	MESH:D000086382		Choline|Zinc	6,34	3
RPL34	6164	COVID-19	MESH:D000086382		Dactinomycin|Ivermectin	6,34	3
SNRNP70	6625	COVID-19	MESH:D000086382		Ivermectin|Zinc Sulfate	6,34	3
XCL1	6375	COVID-19	MESH:D000086382		Chloroquine|Choline	6,34	6
BSPRY	54836	COVID-19	MESH:D000086382		Choline|Mercaptopurine	6,33	2
DCTN1	1639	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,33	4
GNPAT	8443	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,33	4
GTF2A1	2957	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,33	4
HBS1L	10767	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,33	4
RGS11	8786	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,33	4
RRM2	6241	COVID-19	MESH:D000086382		Choline|Ivermectin|Zinc	6,33	5
SAP30	8819	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,33	4
STX16	8675	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,33	4
SUGT1	10910	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,33	4
AGO1	26523	COVID-19	MESH:D000086382		Choline|Ivermectin	6,32	3
DCAF7	10238	COVID-19	MESH:D000086382		Choline|Ivermectin	6,32	3
DNPEP	23549	COVID-19	MESH:D000086382		Choline|Ivermectin	6,32	3
EIF3F	8665	COVID-19	MESH:D000086382		Choline|Ivermectin	6,32	3
ENO1	2023	COVID-19	MESH:D000086382		Choline|Ivermectin|Zinc	6,32	5
ERBB2	2064	COVID-19	MESH:D000086382		Chloroquine|Choline|Mercaptopurine	6,32	7
IARS2	55699	COVID-19	MESH:D000086382		Choline|Ivermectin	6,32	3
KLK8	11202	COVID-19	MESH:D000086382		Zinc|Zinc Sulfate	6,32	3
NUTF2	10204	COVID-19	MESH:D000086382		Choline|Ivermectin	6,32	3
SLC35E1	79939	COVID-19	MESH:D000086382		Choline|Ivermectin	6,32	3
TOR1AIP1	26092	COVID-19	MESH:D000086382		Choline|Ivermectin	6,32	3
BTG2	7832	COVID-19	MESH:D000086382		Choline|Melatonin|Zinc	6,31	5
CBX3	11335	COVID-19	MESH:D000086382		Acetazolamide|Ivermectin	6,31	3
CDYL	9425	COVID-19	MESH:D000086382		Choline|Zinc	6,31	3
COX7A2L	9167	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,31	4
DIAPH1	1729	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,31	4
JMY	133746	COVID-19	MESH:D000086382		Sirolimus|Zinc	6,31	3
LRRC8A	56262	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,31	4
MNT	4335	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,31	4
PHC3	80012	COVID-19	MESH:D000086382		Choline|Zinc	6,31	3
SOX3	6658	COVID-19	MESH:D000086382		Choline|Zinc	6,31	3
TAOK3	51347	COVID-19	MESH:D000086382		Emodin|Ivermectin	6,31	3
UPF2	26019	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,31	4
WDR72	256764	COVID-19	MESH:D000086382		Choline|Zinc	6,31	3
CXCR4	7852	COVID-19	MESH:D000086382		chloroquine diphosphate|Choline|Zinc	6,30	8
IGHM	3507	COVID-19	MESH:D000086382		Zinc|Zinc Sulfate	6,30	3
IL13	3596	COVID-19	MESH:D000086382		Chloroquine|Choline|Emodin	6,30	7
SLC38A5	92745	COVID-19	MESH:D000086382		Choline|Mercaptopurine	6,30	2
B3GALT6	126792	COVID-19	MESH:D000086382		Choline|Ivermectin	6,29	3
DOCK6	57572	COVID-19	MESH:D000086382		Choline|Ivermectin	6,29	3
GXYLT1	283464	COVID-19	MESH:D000086382		Choline|Ivermectin	6,29	3
HACD3	51495	COVID-19	MESH:D000086382		Emodin|Ivermectin	6,29	3
HIF1AN	55662	COVID-19	MESH:D000086382		Choline|Ivermectin	6,29	3
MAGEE1	57692	COVID-19	MESH:D000086382		Choline|Ivermectin	6,29	3
MIR221	407006	COVID-19	MESH:D000086382		Choline|Zinc	6,29	3
MMGT1	93380	COVID-19	MESH:D000086382		Choline|Ivermectin	6,29	3
PPP1R9B	84687	COVID-19	MESH:D000086382		Choline|Ivermectin	6,29	3
SAP30BP	29115	COVID-19	MESH:D000086382		Choline|Ivermectin	6,29	3
SOCS3	9021	COVID-19	MESH:D000086382		Choline|Dactinomycin|Zinc	6,29	4
STT3B	201595	COVID-19	MESH:D000086382		Choline|Ivermectin	6,29	3
TNKS1BP1	85456	COVID-19	MESH:D000086382		Choline|Ivermectin	6,29	3
TWF2	11344	COVID-19	MESH:D000086382		Choline|Ivermectin	6,29	3
UBE2G1	7326	COVID-19	MESH:D000086382		Choline|Ivermectin	6,29	3
VPS26A	9559	COVID-19	MESH:D000086382		Choline|Ivermectin	6,29	3
VPS33A	65082	COVID-19	MESH:D000086382		Choline|Ivermectin	6,29	3
COPG1	22820	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,28	4
FKBP2	2286	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,28	4
PRSS1	5644	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,28	4
RMND5A	64795	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,28	4
SIL1	64374	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,28	4
TMEM117	84216	COVID-19	MESH:D000086382		Zinc|Zinc Sulfate	6,28	3
TOR1B	27348	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,28	4
DYNC1LI2	1783	COVID-19	MESH:D000086382		Ivermectin|Zinc Sulfate	6,27	3
IFNA1	3439	COVID-19	MESH:D000086382		Dactinomycin|Zinc	6,27	3
MUC2	4583	COVID-19	MESH:D000086382		Active Hexose Correlated Compound|Ivermectin	6,27	3
RNH1	6050	COVID-19	MESH:D000086382		Ivermectin|Zinc Sulfate	6,27	3
SERINC1	57515	COVID-19	MESH:D000086382		Ivermectin|Zinc Sulfate	6,27	3
ATE1	11101	COVID-19	MESH:D000086382		Choline|Ivermectin	6,26	3
ATG4B	23192	COVID-19	MESH:D000086382		Ivermectin|Sirolimus	6,26	3
BMS1	9790	COVID-19	MESH:D000086382		Choline|Ivermectin	6,26	3
CLN6	54982	COVID-19	MESH:D000086382		Choline|Zinc	6,26	3
ERGIC1	57222	COVID-19	MESH:D000086382		Choline|Ivermectin	6,26	3
KRTCAP2	200185	COVID-19	MESH:D000086382		Choline|Ivermectin	6,26	3
NELFA	7469	COVID-19	MESH:D000086382		Choline|Ivermectin	6,26	3
PAK4	10298	COVID-19	MESH:D000086382		Choline|Ivermectin	6,26	3
PRDX1	5052	COVID-19	MESH:D000086382		Dactinomycin|Ivermectin|Zinc	6,26	5
RAB5B	5869	COVID-19	MESH:D000086382		Choline|Ivermectin	6,26	3
SART1	9092	COVID-19	MESH:D000086382		Choline|Ivermectin	6,26	3
SUMF1	285362	COVID-19	MESH:D000086382		Choline|Ivermectin	6,26	3
UBE2A	7319	COVID-19	MESH:D000086382		Choline|Ivermectin	6,26	3
UBR2	23304	COVID-19	MESH:D000086382		Choline|Zinc	6,26	3
XPO7	23039	COVID-19	MESH:D000086382		Choline|Ivermectin	6,26	3
BCL2L11	10018	COVID-19	MESH:D000086382		Dactinomycin|Sirolimus|Zinc	6,25	3
CA9	768	COVID-19	MESH:D000086382		Acetazolamide|betulinic acid	6,25	2
MTA2	9219	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,25	4
SF3B1	23451	COVID-19	MESH:D000086382		Acetazolamide|Ivermectin	6,25	3
SLC39A1	27173	COVID-19	MESH:D000086382		Zinc|Zinc Sulfate	6,25	3
TGFB2	7042	COVID-19	MESH:D000086382		Choline|Dactinomycin|Zinc	6,25	4
HLA-C	3107	COVID-19	MESH:D000086382		Ivermectin|Zinc Sulfate	6,24	3
LCN2	3934	COVID-19	MESH:D000086382		Chloroquine|Choline|Sirolimus	6,24	7
SLC2A4	6517	COVID-19	MESH:D000086382		Chloroquine|Ivermectin|Melatonin	6,24	9
SORCS2	57537	COVID-19	MESH:D000086382		Choline|Mercaptopurine	6,24	2
ALOX5	240	COVID-19	MESH:D000086382		Choline|Losartan|Zinc	6,23	4
CCNY	219771	COVID-19	MESH:D000086382		Choline|Ivermectin	6,23	3
CFTR	1080	COVID-19	MESH:D000086382		Choline|Nifedipine|Zinc	6,23	4
CYFIP1	23191	COVID-19	MESH:D000086382		Choline|Ivermectin	6,23	3
FUCA2	2519	COVID-19	MESH:D000086382		Choline|Ivermectin	6,23	3
MANSC1	54682	COVID-19	MESH:D000086382		Choline|Ivermectin	6,23	3
PES1	23481	COVID-19	MESH:D000086382		Choline|Ivermectin	6,23	3
RANBP2	5903	COVID-19	MESH:D000086382		Choline|Ivermectin	6,23	3
RLIM	51132	COVID-19	MESH:D000086382		Choline|Zinc	6,23	3
SAMM50	25813	COVID-19	MESH:D000086382		Choline|Ivermectin	6,23	3
VPS29	51699	COVID-19	MESH:D000086382		Choline|Ivermectin	6,23	3
BLMH	642	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,22	4
COMP	1311	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,22	4
ITM2C	81618	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,22	4
L2HGDH	79944	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,22	4
PPP1R18	170954	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,22	4
SCG5	6447	COVID-19	MESH:D000086382		Mercaptopurine|Zinc Sulfate	6,22	2
SFTPC	6440	COVID-19	MESH:D000086382		Mercaptopurine|Zinc	6,22	3
SMAD3	4088	COVID-19	MESH:D000086382		betulinic acid|Choline|Zinc	6,22	4
ASAH2	56624	COVID-19	MESH:D000086382		Choline|Zinc	6,21	3
BAG6	7917	COVID-19	MESH:D000086382		Choline|Ivermectin	6,21	3
DDX56	54606	COVID-19	MESH:D000086382		Choline|Ivermectin	6,21	3
DENR	8562	COVID-19	MESH:D000086382		Choline|Ivermectin	6,21	3
GFM1	85476	COVID-19	MESH:D000086382		Choline|Ivermectin	6,21	3
LARP1	23367	COVID-19	MESH:D000086382		Ivermectin|Sirolimus	6,21	3
LRATD1	151354	COVID-19	MESH:D000086382		Choline|Zinc	6,21	3
MIR200C	406985	COVID-19	MESH:D000086382		Choline|Zinc	6,21	3
MPC2	25874	COVID-19	MESH:D000086382		Choline|Ivermectin	6,21	3
MRPL38	64978	COVID-19	MESH:D000086382		Choline|Ivermectin	6,21	3
NAE1	8883	COVID-19	MESH:D000086382		Choline|Ivermectin	6,21	3
NLRX1	79671	COVID-19	MESH:D000086382		Choline|Ivermectin	6,21	3
PATL1	219988	COVID-19	MESH:D000086382		Choline|Ivermectin	6,21	3
PDGFD	80310	COVID-19	MESH:D000086382		Choline|Losartan	6,21	2
RPL19	6143	COVID-19	MESH:D000086382		Ivermectin|Melatonin	6,21	4
SPR	6697	COVID-19	MESH:D000086382		Choline|Ivermectin	6,21	3
SSB	6741	COVID-19	MESH:D000086382		Chloroquine|Ivermectin	6,21	7
UBE2L3	7332	COVID-19	MESH:D000086382		Dactinomycin|Ivermectin	6,21	3
YIPF5	81555	COVID-19	MESH:D000086382		Choline|Ivermectin	6,21	3
ATP5PO	539	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,20	4
CIITA	4261	COVID-19	MESH:D000086382		Ritonavir|Zinc	6,20	4
HTRA3	94031	COVID-19	MESH:D000086382		Choline|Mercaptopurine	6,20	2
IBSP	3381	COVID-19	MESH:D000086382		Sirolimus|Zinc	6,20	3
ILF2	3608	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,20	4
LAPTM5	7805	COVID-19	MESH:D000086382		Emodin|Zinc Sulfate	6,20	2
RAB3A	5864	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,20	4
SLC33A1	9197	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,20	4
STK26	51765	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,20	4
AQP5	362	COVID-19	MESH:D000086382		Chloroquine|Choline	6,19	6
CYP2A4	13086	COVID-19	MESH:D000086382		Ivermectin|Nifedipine	6,19	3
GJC1	10052	COVID-19	MESH:D000086382		Chloroquine|Choline	6,19	6
PRCP	5547	COVID-19	MESH:D000086382		Ivermectin|Sirolimus	6,19	3
CAMK1	8536	COVID-19	MESH:D000086382		Choline|Ivermectin	6,18	3
CD2BP2	10421	COVID-19	MESH:D000086382		Choline|Ivermectin	6,18	3
CYRIA	81553	COVID-19	MESH:D000086382		Choline|Zinc	6,18	3
FNIP1	96459	COVID-19	MESH:D000086382		Zinc|Zinc Sulfate	6,18	3
FOXJ1	2302	COVID-19	MESH:D000086382		Choline|Zinc Sulfate	6,18	2
GABRP	2568	COVID-19	MESH:D000086382		Choline|Zinc	6,18	3
GFUS	7264	COVID-19	MESH:D000086382		Choline|Ivermectin	6,18	3
GLT8D1	55830	COVID-19	MESH:D000086382		Choline|Ivermectin	6,18	3
GOLPH3	64083	COVID-19	MESH:D000086382		Choline|Ivermectin	6,18	3
ING1	3621	COVID-19	MESH:D000086382		Choline|Zinc	6,18	3
MIR22	407004	COVID-19	MESH:D000086382		Choline|Dactinomycin	6,18	2
MTRR	4552	COVID-19	MESH:D000086382		Choline|Ivermectin	6,18	3
PIP4K2B	8396	COVID-19	MESH:D000086382		Choline|Ivermectin	6,18	3
SNX9	51429	COVID-19	MESH:D000086382		Choline|Ivermectin	6,18	3
TBCB	1155	COVID-19	MESH:D000086382		Choline|Ivermectin	6,18	3
UBA2	10054	COVID-19	MESH:D000086382		Choline|Ivermectin	6,18	3
WDFY1	57590	COVID-19	MESH:D000086382		Choline|Ivermectin	6,18	3
WNT10B	7480	COVID-19	MESH:D000086382		Mercaptopurine|Zinc	6,18	3
CDC42BPB	9578	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,17	4
HERC4	26091	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,17	4
RABEP1	9135	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,17	4
RNF213	57674	COVID-19	MESH:D000086382		Dactinomycin|Ivermectin	6,17	3
CDH4	1002	COVID-19	MESH:D000086382		Choline|Zinc Sulfate	6,16	2
ISCA1	81689	COVID-19	MESH:D000086382		Choline|Zinc	6,16	3
KITL	17311	COVID-19	MESH:D000086382		Choline|Sirolimus	6,16	2
OGN	4969	COVID-19	MESH:D000086382		Mercaptopurine|Sirolimus	6,16	1
PRF1	5551	COVID-19	MESH:D000086382		Mercaptopurine|Sirolimus	6,16	1
ACBD5	91452	COVID-19	MESH:D000086382		Choline|Ivermectin	6,15	3
DNMT1	1786	COVID-19	MESH:D000086382		Choline|Ivermectin|Sirolimus	6,15	4
GPM6B	2824	COVID-19	MESH:D000086382		chloroquine diphosphate|Choline	6,15	6
MN1	4330	COVID-19	MESH:D000086382		Dactinomycin|Zinc	6,15	3
MRPL17	63875	COVID-19	MESH:D000086382		Choline|Ivermectin	6,15	3
MRPL18	29074	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,15	4
P3H3	10536	COVID-19	MESH:D000086382		Choline|Ivermectin	6,15	3
RAB15	376267	COVID-19	MESH:D000086382		Choline|Ivermectin	6,15	3
RIN1	9610	COVID-19	MESH:D000086382		Choline|Ivermectin	6,15	3
S100A3	6274	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,15	4
SCFD1	23256	COVID-19	MESH:D000086382		Choline|Ivermectin	6,15	3
SLC30A7	148867	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,15	4
SSRP1	6749	COVID-19	MESH:D000086382		Choline|Ivermectin	6,15	3
TBL1X	6907	COVID-19	MESH:D000086382		Ivermectin|Zinc Sulfate	6,15	3
TMEM33	55161	COVID-19	MESH:D000086382		Choline|Ivermectin	6,15	3
TUBGCP3	10426	COVID-19	MESH:D000086382		Choline|Ivermectin	6,15	3
CA1	759	COVID-19	MESH:D000086382		Acetazolamide|Zinc	6,14	3
CELA1	1990	COVID-19	MESH:D000086382		Choline|Mercaptopurine	6,14	2
NGF	4803	COVID-19	MESH:D000086382		Choline|Dactinomycin|Nifedipine	6,14	3
PIMREG	54478	COVID-19	MESH:D000086382		Mercaptopurine|Zinc	6,14	3
WNT7B	7477	COVID-19	MESH:D000086382		Choline|Zinc Sulfate	6,14	2
CHD1L	9557	COVID-19	MESH:D000086382		Choline|Ivermectin	6,13	3
ESYT1	23344	COVID-19	MESH:D000086382		Choline|Ivermectin	6,13	3
FOSL1	8061	COVID-19	MESH:D000086382		Choline|Dactinomycin|Zinc	6,13	4
GNRHR	2798	COVID-19	MESH:D000086382		Melatonin|Zinc	6,13	4
MEOX2	4223	COVID-19	MESH:D000086382		Mercaptopurine|Zinc	6,13	3
MIR30A	407029	COVID-19	MESH:D000086382		Choline|Zinc	6,13	3
NARF	26502	COVID-19	MESH:D000086382		Choline|Zinc	6,13	3
NFASC	23114	COVID-19	MESH:D000086382		Choline|Ivermectin	6,13	3
POLE3	54107	COVID-19	MESH:D000086382		Choline|Ivermectin	6,13	3
RSF1	51773	COVID-19	MESH:D000086382		Choline|Ivermectin	6,13	3
TRAM2	9697	COVID-19	MESH:D000086382		Choline|Zinc	6,13	3
TRIAP1	51499	COVID-19	MESH:D000086382		Choline|Zinc	6,13	3
TXNRD3	114112	COVID-19	MESH:D000086382		Choline|Zinc	6,13	3
CHGB	1114	COVID-19	MESH:D000086382		Choline|Zinc Sulfate	6,12	2
FADS3	3995	COVID-19	MESH:D000086382		Choline|Dactinomycin	6,12	2
HPGDS	27306	COVID-19	MESH:D000086382		Choline|Mercaptopurine	6,12	2
KCNJ5	3762	COVID-19	MESH:D000086382		Zinc|Zinc Sulfate	6,12	3
SEC13	6396	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,12	4
TXNDC5	81567	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,12	4
BPNT2	54928	COVID-19	MESH:D000086382		Choline|Ivermectin	6,10	3
CMTM6	54918	COVID-19	MESH:D000086382		Choline|Ivermectin	6,10	3
GLTP	51228	COVID-19	MESH:D000086382		Choline|Ivermectin	6,10	3
IPO9	55705	COVID-19	MESH:D000086382		Choline|Ivermectin	6,10	3
KCTD5	54442	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,10	4
NCF4	4689	COVID-19	MESH:D000086382		Choline|Sirolimus	6,10	2
NHSL1	57224	COVID-19	MESH:D000086382		Choline|Ivermectin	6,10	3
NMNAT1	64802	COVID-19	MESH:D000086382		Ivermectin|Zinc	6,10	4
PLCB3	5331	COVID-19	MESH:D000086382		Ivermectin|Zinc Sulfate	6,10	3
SPG7	6687	COVID-19	MESH:D000086382		Ivermectin|Zinc Sulfate	6,10	3
SRPK1	6732	COVID-19	MESH:D000086382		Choline|Ivermectin	6,10	3
